headline,date_posted,link
Bankman-Fried heads to Brooklyn jail notorious for poor conditions,14-Aug-23,https://www.reuters.com/legal/bankman-fried-heads-brooklyn-jail-notorious-poor-conditions-2023-08-14/
China's Geely unveils auto robotics brand JI YUE,14-Aug-23,https://www.reuters.com/technology/chinas-geely-unveils-auto-robotics-brand-ji-yue-2023-08-14/
In the Market: Funds fret over the fallout of Biden's China order,14-Aug-23,https://www.reuters.com/markets/market-funds-fret-over-fallout-bidens-china-order-2023-08-14/
"Sony Music, Triller end copyright case over platform's music use",14-Aug-23,https://www.reuters.com/legal/sony-music-triller-end-copyright-case-over-platforms-music-use-2023-08-14/
Naver's 'Webtoon' CEO says barrier for new entrants is high,14-Aug-23,https://www.reuters.com/technology/navers-webtoon-ceo-says-barrier-new-entrants-is-high-2023-08-14/
PayPal hires Intuit veteran with small business expertise to be next CEO,14-Aug-23,https://www.reuters.com/technology/paypal-taps-intuit-executive-ceo-role-2023-08-14/
Australian court fines Dell unit $6.5 million for misleading customers on discounts,14-Aug-23,https://www.reuters.com/technology/dells-aussie-arm-pay-65-mln-penalties-misleading-customers-2023-08-14/
Google-backed Anthropic raises $100 mln from South Korea's SK Telecom,14-Aug-23,https://www.reuters.com/technology/google-backed-anthropic-raises-100-mln-south-koreas-sk-telecom-2023-08-14/
Rakuten shares jump as mobile losses narrow,14-Aug-23,https://www.reuters.com/business/media-telecom/rakuten-shares-jump-mobile-losses-narrow-2023-08-14/
Exclusive: SoftBank in talks to buy Vision Fund's 25% stake in Arm,13-Aug-23,https://www.reuters.com/markets/deals/softbank-talks-buy-vision-funds-25-stake-arm-sources-2023-08-13/
US SEC delays decision on Cathie Wood's spot bitcoin ETF,11-Aug-23,https://www.reuters.com/business/finance/us-sec-delays-decision-cathie-woods-spot-bitcoin-etf-2023-08-11/
"ChatGPT fever spreads to US workplace, sounding alarm for some",11-Aug-23,https://www.reuters.com/technology/chatgpt-fever-spreads-us-workplace-sounding-alarm-some-2023-08-11/
"US cyber body to review cloud computing safety, Microsoft breach",11-Aug-23,https://www.reuters.com/technology/us-cyber-safety-review-board-assess-online-intrusion-microsoft-exchange-dhs-2023-08-11/
California turns to AI to help spot wildfires,11-Aug-23,https://www.reuters.com/world/us/california-turns-ai-help-spot-wildfires-2023-08-11/
Iraq to unblock Telegram app as platform responded to security requirements -statement,12-Aug-23,https://www.reuters.com/technology/iraq-unblock-telegram-app-platform-responded-security-requirements-statement-2023-08-12/
"GQG Partners adds Nvidia, Amazon, Apple in Q2",11-Aug-23,https://www.reuters.com/technology/gqg-partners-adds-nvidia-amazon-apple-q2-2023-08-11/
San Francisco moves to center of robotaxi universe after California agency vote,11-Aug-23,https://www.reuters.com/business/autos-transportation/california-agency-vote-san-francisco-robotaxi-expansion-amid-heavy-opposition-2023-08-10/
China's Huawei reports small revenue bump on back of core businesses,11-Aug-23,https://www.reuters.com/technology/chinas-huawei-reports-small-revenue-bump-back-core-businesses-2023-08-11/
